persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_dataset,path_to_parameterization_file_to_generate_dataset,path_to_codelists_used_in_dataset
west_pacific_ocean_effort_5deg_1m_ps_tunaatlasWCPFC_level0,raw_dataset,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 5° squares (WCPFC level 0),ird@ird.fr,PeterW@spc.int,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,PeterW@spc.int,,"This dataset lists fishing effort targetting tuna and tuna-like species from the Western and Central Pacific Fisheries Commission (WCPFC) by purse seiners from 1970 to 2015. Efforts are stratified by year, month, unit of effort, fishing mode (i.e. type of school used), area (5° squares). It corresponds to the effort part of the WCPFC catch-and-effort (task2) dataset.

Efforts are expressed in several units : days fishing, number of sets. For each stratum, the effort is available in both units.

This dataset was downloaded on the WCPFC website. It was then restructured to be in line with the Sardara database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below (caracteristics, specific issues and problems that need to be taken into account) is extracted from the WCPFC web page where the dataset has been downloaded.

Caracteristics, specific issues and problems that need to be taken into account :

This database represents the most complete purse seine data available to the WCPFC that can be disseminated into the public domain in accordance with the current “Rules and Procedures for the Protection, Access to, and Dissemination of Data Compiled by the Commission” (“RAP” – see
http://www.wcpfc.int/doc/data-02/rules-and-procedures-protection-access-and-dissemination-data-compiled-commission ).
In reference to the RAP (Paragraph 9), cells where effort is less than or equal to the maximum value estimated to represent the activities of two vessels have been removed from the public domain data (the cells are retained with their time/area information, but all catch and effort information in these have been set to zero).",2016-11-09,2017-03-07,,,https://www.wcpfc.int/folder/public-domain-data,https://www.wcpfc.int/system/files/purse_seine_3.zip,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ps_tunaatlasWCPFC_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_raw_datasets_2017.csv,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_tunaatlasWCPFC_level0__driftnet,raw_dataset,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by driftnets aggregated by 5° squares (WCPFC level 0),ird@ird.fr,PeterW@spc.int,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,PeterW@spc.int,,"This dataset lists catch of Albacore from the Western and Central Pacific Fisheries Commission (WCPFC) by driftnets from 1984 to 1990. Catches are stratified by year, month, species, area (5° squares). It corresponds to the catch part of the WCPFC catch-and-effort (task2) dataset.

This dataset was downloaded on the WCPFC website. It was then restructured to be in line with the Sardara database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below (caracteristics, specific issues and problems that need to be taken into account) is extracted from the WCPFC web page where the dataset has been downloaded.

Caracteristics, specific issues and problems that need to be taken into account :

This database represents the most complete driftnet data available to the WCPFC that can be disseminated into the public domain in accordance with the current “Rules and Procedures for the Protection, Access to, and Dissemination of Data Compiled by the Commission” (“RAP” – see
http://www.wcpfc.int/doc/data-02/rules-and-procedures-protection-access-and-dissemination-data-compiled-commission ).
In reference to the RAP (Paragraph 9), cells where effort is less than or equal to the maximum value estimated to represent the activities of two vessels have been removed from the public domain data (the cells are retained with their time/area information, but all catch and effort information in these have been set to zero).",2016-11-09,2017-03-07,,,https://www.wcpfc.int/folder/public-domain-data,https://www.wcpfc.int/system/files/Driftnet.zip,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_tunaatlasWCPFC_level0__driftnet,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_raw_datasets_2017.csv,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_tunaatlasWCPFC_level0__driftnet,raw_dataset,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by driftnets aggregated by 5° squares (WCPFC level 0),ird@ird.fr,PeterW@spc.int,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,PeterW@spc.int,,"This dataset lists fishing efforts targetting Albacore from the Western and Central Pacific Fisheries Commission (WCPFC) by driftnets from 1984 to 1990. Efforts are stratified by year, month, unit of effort, area (5° squares). It corresponds to the effort part of the WCPFC catch-and-effort (task2) dataset.

Efforts are expressed in days fishing.

This dataset was downloaded on the WCPFC website. It was then restructured to be in line with the Sardara database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below (caracteristics, specific issues and problems that need to be taken into account) is extracted from the WCPFC web page where the dataset has been downloaded.

Caracteristics, specific issues and problems that need to be taken into account :

This database represents the most complete driftnet data available to the WCPFC that can be disseminated into the public domain in accordance with the current “Rules and Procedures for the Protection, Access to, and Dissemination of Data Compiled by the Commission” (“RAP” – see
http://www.wcpfc.int/doc/data-02/rules-and-procedures-protection-access-and-dissemination-data-compiled-commission ).
In reference to the RAP (Paragraph 9), cells where effort is less than or equal to the maximum value estimated to represent the activities of two vessels have been removed from the public domain data (the cells are retained with their time/area information, but all catch and effort information in these have been set to zero).",2016-11-09,2017-03-07,,,https://www.wcpfc.int/folder/public-domain-data,https://www.wcpfc.int/system/files/Driftnet.zip,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_tunaatlasWCPFC_level0__driftnet,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_raw_datasets_2017.csv,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_nominal_catch_tunaatlasWCPFC_level0,raw_dataset,"Annual catch of tuna, tuna-like and shark species in the West Pacific Ocean (%date_start%-%date_end%) (WCPFC level 0)",ird@ird.fr,PeterW@spc.int,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,PeterW@spc.int,,"This dataset lists catch of tuna, tuna-like and shark species from the Western and Central Pacific Fisheries Commission (WCPFC) from 1950 to 2015. Catches are stratified by year, species, fishing gear, vessel flag reporting country. It corresponds to the catch part of the WCPFC nominal catch (task1) dataset.

This dataset was downloaded on the WCPFC website. It was then restructured to be in line with the Sardara database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below (caracteristics, specific issues and problems that need to be taken into account) is extracted from the WCPFC web page where the dataset has been downloaded.

Caracteristics, specific issues and problems that need to be taken into account :

The tables of catch statistics cover the main commercial tuna and billfish species caught in the region: albacore (Thunnus alalunga), bigeye (Thunnus obesus), skipjack (Katsuwonus pelamis), yellowfin (Thunnus albacares), black marlin (Makaira indica), blue marlin (Makaira nigricans), striped marlin (Tetrapturus audax) and swordfish (Xiphias gladius). The WCFPC, through their member countries, are now obliged to compile estimates of key shark species, some of which are now covered in the longline fleet tables: blue shark (Prionace glauca), silky shark (Carcharhinus falciformis), oceanic whitetip shark (Carcharhinus longimanus) and mako sharks (Isurus spp.). Catches of other species are not covered explicitly, and discards are not considered.

The main industrial fishing methods employed in the WCPFC region include longline, pole-and-line, purse seine and troll. The domestic fisheries of Indonesia and the Philippines employ several other methods. Driftnet fishing for albacore in the South Pacific Ocean ceased in 1991. Individual fleets presented herein cover vessels that are flagged to that nation and those vessels considered to be 'chartered' according to the WCPFC Conservation and Management Measure (CMM-2012-05) on Charter Notification.

For the purse-seine fishery, recent studies using observer data (e.g. Lawson, 2007, Lawson, 2010, Lawson, 2012, Lawson, 2013, Lawson, 2014, Hampton and Williams, 2011, Hampton and Williams, 2015) show that the logsheet-reported catch, mainly for associated sets, should contain higher quantities of yellowfin and bigeye tuna that have been misreported as skipjack tuna. Purse-seine catch estimates that have been adjusted with species compositions determined from observer grab samples corrected for size selectivity bias (see Lawson, 2010, Lawson, 2012, Lawson, 2013, and Lawson, 2014) are presented herein as the best available WCFPC purse-seine catch estimates for skipjack, yellowfin and bigeye tuna. All composite tables and figures referring to purse-seine species catch are consistent with these estimates. The estimates of purse seine catch by species may differ from the original estimates provided by WCPFC member countries for their fleets, but total purse seine catch will not differ. The purse seine species catch estimates are produced from statistical models and will therefore change from year to year as more data become available.

For the longline fishery, estimates of key shark species have improved in recent years but for most fleets remain uncertain due to (i) clear under-reporting of catches, or (ii) very low coverage of observer data used to estimate these catches.

The tables of annual catch estimates for individual fleets cover those years during which the fleet is known to have fished; the lack of recent years in a table implies that the fleet has ceased fishing.

The sources of the estimates are available from the SPC Oceanic Fisheries Programme.",2016-11-09,2017-03-06,,,https://www.wcpfc.int/folder/statistical-bulletins,https://www.wcpfc.int/system/files/YEARBOOK_2015_XLS_Provisional.zip,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_nominal_catch_tunaatlasWCPFC_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_raw_datasets_2017.csv,http://data.d4science.org/cEdsNVZrTU9yNHVZdFBua3lVbFNXTEcwZ2M5WDdxM0tHbWJQNStIS0N6Yz0
atlantic_ocean_catch_5deg_1m_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (mainly 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
atlantic_ocean_catch_5deg_1m_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
atlantic_ocean_catch_5deg_1m_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
atlantic_ocean_catch_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
atlantic_ocean_catch_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
atlantic_ocean_catch_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %date_start% to %date_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (mainly 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
east_pacific_ocean_catch_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %date_start% to %date_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
global_catch_1deg_1m_ps_bb_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species (%date_start%-%date_end%) by purse seiners and pole-and-liners in the Indian, Atlantic and Eastern Pacific Oceans aggregated by 1° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,fdiwg@rda-groups.org,,"This dataset lists catch of tuna, tuna-like and shark species by purse seiners and pole-and-liners from %date_start% to %date_end% in the Indian, Atlantic and Eastern Pacific Oceans. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (mainly 1° square) and unit of catch (weight or number). This dataset was computed using public domain catch-and-effort datasets released by four of the five tuna Regional Fisheries Management Organizations: the Indian Ocean Tuna Commission (IOTC), the International Commission for the Conservation of Atlantic Tunas (ICCAT), the Inter-American Tropical Tuna Commission (IATTC), the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Data from the Western Pacific Ocean were not included because WCPFC provides purse seine and pole-and-line catch at 5° square spatial resolution. IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset.",,,,,,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.global_catch_1deg_1m_ps_bb_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/metadata_and_parameterization_files/parameterization_ird_tuna_atlas_datasets_2017.csv,@@automatically generated@@
